id,municipio,municipio_uf,latitude,longitude,uf
4742,ALVARO DE CARVALHO,ALVARO DE CARVALHO - SP,-22.08,-49.71,SP
4743,ALVINLANDIA,ALVINLANDIA - SP,-22.44,-49.76,SP
1363,ALVINOPOLIS,ALVINOPOLIS - MG,-20.1,-43.04,MG
3898,ALVORADA,ALVORADA - RS,-29.99,-51.08,RS
5375,ALVORADA,ALVORADA - TO,-12.48,-49.12,TO
1364,ALVORADA DE MINAS,ALVORADA DE MINAS - MG,-18.73,-43.36,MG
2952,ALVORADA DO GURGUEIA,ALVORADA DO GURGUEIA - PI,-8.42,-43.77,PI
890,ALVORADA DO NORTE,ALVORADA DO NORTE - GO,-14.48,-46.49,GO
3174,ALVORADA DO SUL,ALVORADA DO SUL - PR,-22.78,-51.23,PR
3825,ALVORADA D'OESTE,ALVORADA D'OESTE - RO,-11.4,-62.38,RO
3875,AMAJARI,AMAJARI - RR,3.65,-61.37,RR
2193,AMAMBAI,AMAMBAI - MS,-23.1,-55.22,MS
186,AMAPA,AMAPA - AP,2.05,-50.79,AP
1130,AMAPA DO MARANHAO,AMAPA DO MARANHAO - MA,-1.56,-45.93,MA
3175,AMAPORA,AMAPORA - PR,-23.09,-52.78,PR
2769,AMARAJI,AMARAJI - PE,-8.38,-35.45,PE
3899,AMARAL FERRADOR,AMARAL FERRADOR - RS,-30.87,-52.25,RS
891,AMARALINA,AMARALINA - GO,-13.92,-49.29,GO
2953,AMARANTE,AMARANTE - PI,-6.24,-42.85,PI
1131,AMARANTE DO MARANHAO,AMARANTE DO MARANHAO - MA,-5.56,-46.74,MA
211,AMARGOSA,AMARGOSA - BA,-13.03,-39.6,BA
125,AMATURA,AMATURA - AM,-3.36,-68.19,AM
212,AMELIA RODRIGUES,AMELIA RODRIGUES - BA,-12.39,-38.75,BA
213,AMERICA DOURADA,AMERICA DOURADA - BA,-11.45,-41.43,BA
4744,AMERICANA,AMERICANA - SP,-22.73,-47.33,SP
892,AMERICANO DO BRASIL,AMERICANO DO BRASIL - GO,-16.25,-49.98,GO
4745,AMERICO BRASILIENSE,AMERICO BRASILIENSE - SP,-21.72,-48.1,SP
